user_story;comp_ids;rico_id
"As someone with a small amount of free time, I want to be able to select from pre-created meals, so I don't have to spend a lot of time tracking my meals.";"24";22545
"As someone who wants the most accurate data possible, I want to be able to enter a product's nutritional info by hand, so I can be sure that my caloric intake is tracked as well as possible.";"28";22545
"As someone who usually buys the same foods every week, I want to be able to save specific products as favourites, so I can easily find them again.";"25";22545
"As a user I want to be able to mofidy a recipe to adjust it to my preferences and post it to the community";"16";23369
"As a user I want to be able to read through the ingrediens list to know which ingrediens I need to buy or have";"1,2";23369
"As a user I want to be able to adjust the portions numbers of a receipe to plan for different cooking volumes";"4";23369
"As a user I want to automatically add the ingrediens of a recipe to a shopping list to not having to type them in manually";"3";23369
"As a user I want to quickly see how much time a receipe takes for each step to quickyl know how time I woudl need to invest";"12,11,10,9,8,7,6,5";23369
"As a bank customer, I want to apply for a loan so that I can pay for my unexpected expenses.";"8,9";24754
"As a bank customer, I want to be able to contact my bank so that I can get adivsed by a representive of the bank.";"6,7";24754
"As a bank customer, I want to know where the closest location of my bank is so that I can get desired money and advise nearby.";"2,3";24754
"As a bank customer, I want to be able to pay online so that I dont have to go for each payment to my local bank.";"24";24754
"As a bank customer, I want to have an overview of my accounts so that I know how much money or debt I have in total.";"25";24754
"As a PRI user, I want to see all episodes of my favorite show so that I can choose one to see.";"22";25008
"As a PRI user, I want to mark episodes as favorite so that I can watch them again later.";"21";25008
"As a PRI user, I want to download episodes so that I can watch them offline.";"12";25008
"As a PRI user, I want to share episodes so that I can show them my friends and family.";"13";25008
"As a PRI user, I want to comment episodes so that I can leave qualitative feedback.";"17";25008
"As a scientist, I want to see the political leaning of news agencies so that I can compare differences in reporting.";"8,9,10,11,12,13";25203
"As a reader of a certain magazine, I want to add the magazine to my favourites so that I can access the magazine quickly.";"1,3,5";25203
"As a scientist, I want to change my location so that I can compare reporting in different countries.";"18,19";25203
"As a reader of a certain magazine, I want a search option so that I can access the Sources I am interrested in quickly.";"15,16";25203
"As a person trying to find new magazines, I want a preview function so that I can see quickly if I like the magazine.";"14";25203
"As a theology student, I want to search for specific terms so that I can find all instances and study the context in which they are used within the Bible.";"1,2,0";27400
"As a reader, I want to be able to search for key words in the book, so that I can quickly see individual sections.";"2,1";27400
"As a Bible study group leader, I want to filter search results by Old Testament and New Testament so that I can prepare relevant discussion materials for our sessions.";"14,13";27400
"As a reader, I want to be able to filter the results, so that only the content relevant to me is displayed";"14,13,11";27400
"As a researcher, I want to access multiple translations of the bible so that i can compare the language and interpret the text more deeply";"18";27400
"As a reader, I want to be able to open the book, so that I can read it.";"12";27400
"As a reader, I want to be able to save sections in my favourites, so that I can look at them at a later time.";"9,7,5,4";27400
"As a music listener, I want to download songs I like so that I can listen to them offline.";"6";30889
"As a music listener, I want to have control over the current song beeing played, so that I can pause and skip it whenever I like to.";"13,12,11";30889
"As a music listener, I want to know the artist of the current song beeing played so that I can find the artist again in future.";"0";30889
"As a music listener, I want to know the title of the current song beeing played so that I can find the song again in future.";"0";30889
"As a music listener, I want to share songs I like with my friends so that they and I know can exchange our music tastes.";"3";30889
"As a health-conscious eater, I want to see the nutritional information of the recipe so that I can choose meals that fit within my dietary goals";"20,19,18,17";37166
"As a cook, I want to access a video tutorial for the recipe so that I can follow along step by step and improve my cooking skills";"22,23.8";37166
"As a frequent user of the app, I want to favorite recipes so that I can easily find them later for repeated use";"21,5";37166
"As a food enthusiast, I want to share recipes with friends and family so that I can inspire others with meal ideas";"27";37166
"As a user who has a specific meal in mind but doesn't know how to cook it, I want to be able to search for it by name or key ingredients so that I can find a detailed recipe and instructions that will guide me through the cooking process.";"6";37166
